vertex1,x,y
0,0.7,1.2864899029356639e-08
1,0.4949747437567525,0.4949747381941133
2,-1.2170432807568643e-08,0.6999999944373608
3,-0.4949747069016761,0.4949747381941133
4,-0.6999999631449236,-4.833104296108991e-08
5,-0.49497474862492635,-0.494974670741065
6,2.6774954414860573e-08,-0.6999999687075628
7,0.494974660310252,-0.4949747959108157
8,-0.5619548030754795,0.3579458240114126
9,0.22789611338703764,0.3766299945928724
10,-0.3560837546392359,0.8017122538665433
11,-0.09645928534370918,0.02742606385388724
12,0.8976159520042544,0.9585545358899512
13,0.32308545183310344,0.8896263851515822
14,0.08301477268088653,-0.38543410886645657
15,-0.3698142880669173,0.11788117976469104
16,0.2100722413103968,-0.12076586016050217
17,0.7675429670236877,-0.14660776257289898
18,-0.4531527060046643,-0.9840362433129204
19,0.9411385563152737,0.6486265662858888
20,0.23111916937065802,0.6610845078069227
21,0.6205784605018878,0.8637015604516503
22,-0.22786463327925022,0.1097044841718815
23,-0.8027439525595081,0.9306308514379462
24,0.9702541385649996,0.5781684958624034
25,-0.09175803370332636,-0.006866498171284707
26,-0.129266134024286,-0.4133787269555391
27,0.05558281109753316,-0.8931098609988664
28,0.9837741238743367,-0.1518997296717184
29,0.8547331680742125,0.44854292132000717
30,-0.42011416627213194,-0.5558947636507952
31,0.9913508675247125,0.5442527101080714
32,-0.5006770517013182,-0.8651099036454788
33,0.3938330906027574,-0.3939670863778473
34,-0.5573383747445653,0.46987483029867216
35,0.35852264530869515,-0.037174650479617766
36,0.8853118655407464,0.3592767321149821
37,0.7868391212398185,-0.6188941153005618
38,-0.4067081798382226,-0.7909597326125435
39,-0.39084000425592924,0.9435566584127608
40,0.9257124921846014,0.5207727091019818
41,0.04209652556591448,0.56155959758449
42,0.10697390242743987,-0.9929829906571133
43,0.003094147887231058,0.19784689202210504
44,-0.46850328499399163,-0.5934128715166769
45,-0.4523818103886974,0.2472554990357314
46,-0.707871770128895,0.44065660265899886
47,-0.15465035807678107,-0.29330428158934896
48,0.6144625833607058,0.012126498873053171
49,-0.24319887761814374,0.7563094311212091
50,-0.26349673560104847,0.718000565886741
51,0.00839739692511654,-0.5839858050899855
52,0.2256363762221676,-0.42935294746007746
53,-0.7056897356476097,-0.826941257204441
54,-0.516605328405116,0.47310928400438246
55,0.6759984447514853,0.7234416919638431
56,-0.4597034525801127,0.32194586589068375
57,-0.539291880170141,0.24552422793648065
